time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,q_x,q_y,q_z,q_w
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000,0.000000,1.000000
0.010000,0.008745,0.002253,9.818757,-0.001663,0.000137,0.000842,-0.000002014,0.000022019,-0.000044435,-0.000001,0.000002,0.000000,1.000000
0.020000,0.002933,0.013796,9.798549,-0.000306,-0.000661,-0.000936,-0.000001918,0.000021846,-0.000044376,-0.000004,0.000007,0.000000,1.000000
0.030000,-0.005127,-0.002467,9.834617,-0.001038,0.001608,-0.000178,-0.000001962,0.000021961,-0.000044392,-0.000007,0.000015,0.000000,1.000000
0.040000,-0.005698,-0.008655,9.824784,0.000103,0.002230,-0.000059,-0.000002264,0.000021789,-0.000044129,-0.000012,0.000025,0.000000,1.000000
0.050000,0.016542,-0.012405,9.829932,-0.001960,0.002167,0.000843,-0.000002042,0.000022306,-0.000044538,-0.000019,0.000037,0.000000,1.000000
0.060000,0.000619,0.003553,9.809447,-0.001060,0.003401,0.000579,-0.000002300,0.000021923,-0.000044189,-0.000026,0.000052,0.000000,1.000000
0.070000,-0.003702,0.016135,9.803456,-0.001719,0.004012,0.000059,-0.000001838,0.000022394,-0.000044138,-0.000035,0.000070,0.000000,1.000000
0.080000,0.000284,0.009938,9.834749,-0.002452,0.004675,0.000195,-0.000002037,0.000021892,-0.000044405,-0.000045,0.000090,0.000000,1.000000
0.090000,0.006335,-0.012375,9.819295,-0.003922,0.003839,0.001663,-0.000001544,0.000022029,-0.000044081,-0.000057,0.000112,0.000001,1.000000
0.100000,0.003833,-0.022009,9.829234,-0.001427,0.005840,0.000100,-0.000001939,0.000022077,-0.000044184,-0.000069,0.000137,0.000001,1.000000
0.110000,-0.003491,0.019298,9.830520,-0.003077,0.005620,0.000601,-0.000001927,0.000022174,-0.000044500,-0.000083,0.000165,0.000001,1.000000
0.120000,0.005716,-0.023713,9.822816,-0.002284,0.006797,-0.000180,-0.000001742,0.000022111,-0.000044448,-0.000098,0.000195,0.000001,1.000000
0.130000,0.009851,0.000007,9.817540,-0.003635,0.006788,0.000028,-0.000001893,0.000021980,-0.000044278,-0.000115,0.000228,0.000001,1.000000
0.140000,-0.008365,0.001419,9.820357,-0.001937,0.006913,0.000098,-0.000002176,0.000022013,-0.000044320,-0.000133,0.000263,0.000001,1.000000
0.150000,0.005703,0.014160,9.827229,-0.002457,0.007210,-0.000679,-0.000001880,0.000022216,-0.000044273,-0.000151,0.000300,0.000001,1.000000
0.160000,0.013589,-0.004986,9.818649,-0.003160,0.006358,-0.001012,-0.000001912,0.000021895,-0.000044258,-0.000172,0.000340,0.000002,1.000000
0.170000,0.031004,0.003618,9.819728,-0.003277,0.008496,0.000118,-0.000001861,0.000022101,-0.000044598,-0.000193,0.000383,0.000002,1.000000
0.180000,0.006912,-0.004768,9.807619,-0.004074,0.008419,0.000352,-0.000001862,0.000022045,-0.000044519,-0.000216,0.000428,0.000002,1.000000
0.190000,0.014485,-0.014963,9.846554,-0.004140,0.010140,-0.000029,-0.000002016,0.000022126,-0.000044486,-0.000240,0.000476,0.000002,1.000000
0.200000,-0.013624,0.008004,9.807412,-0.005168,0.009724,0.000965,-0.000002067,0.000022123,-0.000044370,-0.000265,0.000526,0.000003,1.000000
0.210000,-0.003669,-0.005039,9.853419,-0.006243,0.010430,-0.000650,-0.000002095,0.000022094,-0.000044402,-0.000292,0.000579,0.000003,1.000000
0.220000,0.010485,0.020959,9.810326,-0.004251,0.012259,0.000403,-0.000002032,0.000022002,-0.000044250,-0.000320,0.000634,0.000003,1.000000
0.230000,-0.001102,-0.040659,9.820633,-0.006385,0.013281,-0.000265,-0.000001782,0.000021974,-0.000044194,-0.000349,0.000691,0.000003,1.000000
0.240000,-0.002480,0.003806,9.808124,-0.006382,0.012842,-0.000837,-0.000002107,0.000021839,-0.000044270,-0.000379,0.000752,0.000004,1.000000
0.250000,-0.016940,0.015818,9.811702,-0.007271,0.012213,0.000312,-0.000001833,0.000022014,-0.000044232,-0.000411,0.000814,0.000004,1.000000
0.260000,0.010098,-0.011130,9.834086,-0.006582,0.013314,0.000929,-0.000001883,0.000022041,-0.000044249,-0.000444,0.000879,0.000004,1.000000
0.270000,0.004862,-0.020935,9.809649,-0.006234,0.013751,0.000801,-0.000001991,0.000021909,-0.000044309,-0.000478,0.000947,0.000005,0.999999
0.280000,0.001584,0.011706,9.845513,-0.006583,0.013860,0.001150,-0.000001833,0.000022157,-0.000044374,-0.000513,0.001017,0.000005,0.999999
0.290000,-0.009695,0.003287,9.820178,-0.006389,0.014084,-0.000038,-0.000001985,0.000022022,-0.000044233,-0.000550,0.001089,0.000005,0.999999
0.300000,0.014027,0.010255,9.830373,-0.007531,0.014238,-0.000415,-0.000001908,0.000021974,-0.000044364,-0.000587,0.001164,0.000006,0.999999
0.310000,-0.006965,-0.023129,9.846782,-0.007846,0.013970,0.000198,-0.000002052,0.000021706,-0.000044399,-0.000626,0.001242,0.000006,0.999999
0.320000,0.010203,0.002427,9.838615,-0.007935,0.016126,-0.000082,-0.000001930,0.000021886,-0.000044105,-0.000667,0.001322,0.000006,0.999999
0.330000,-0.027123,-0.012256,9.837678,-0.008293,0.016269,0.000401,-0.000002015,0.000022123,-0.000044213,-0.000708,0.001404,0.000007,0.999999
0.340000,-0.009246,-0.011980,9.848336,-0.007942,0.017360,-0.000614,-0.000002053,0.000022071,-0.000044218,-0.000751,0.001489,0.000007,0.999999
0.350000,-0.000211,-0.004446,9.825849,-0.009424,0.018271,-0.000444,-0.000002096,0.000022185,-0.000044603,-0.000795,0.001577,0.000008,0.999998
0.360000,-0.008734,-0.012752,9.842621,-0.008085,0.019041,0.001010,-0.000001888,0.000021913,-0.000044293,-0.000841,0.001667,0.000008,0.999998
0.370000,0.002293,0.012697,9.821617,-0.009027,0.018584,0.000353,-0.000001751,0.000021886,-0.000044381,-0.000887,0.001759,0.000009,0.999998
0.380000,-0.016590,-0.018523,9.825920,-0.010145,0.019336,0.000276,-0.000002118,0.000022228,-0.000044404,-0.000935,0.001854,0.000009,0.999998
0.390000,-0.021349,-0.031089,9.824185,-0.009271,0.019040,-0.000190,-0.000001985,0.000021834,-0.000044211,-0.000984,0.001951,0.000009,0.999998
0.400000,0.006742,-0.006163,9.834163,-0.009939,0.020045,0.000191,-0.000001550,0.000021942,-0.000044106,-0.001034,0.002050,0.000010,0.999997
0.410000,-0.026772,-0.019821,9.821009,-0.010352,0.019902,0.000397,-0.000001579,0.000022163,-0.000044345,-0.001086,0.002152,0.000010,0.999997
0.420000,-0.004034,-0.017759,9.818980,-0.011060,0.021374,0.000513,-0.000002011,0.000022137,-0.000044394,-0.001138,0.002257,0.000011,0.999997
0.430000,-0.005933,-0.004509,9.823388,-0.011683,0.021389,0.000077,-0.000001624,0.000022174,-0.000044133,-0.001192,0.002364,0.000012,0.999996
0.440000,-0.004654,0.006602,9.845806,-0.010590,0.022017,0.000952,-0.000001794,0.000022062,-0.000044270,-0.001248,0.002473,0.000012,0.999996
0.450000,-0.008927,-0.002739,9.872843,-0.011970,0.023485,-0.000023,-0.000001911,0.000022008,-0.000044575,-0.001304,0.002585,0.000013,0.999996
0.460000,-0.017670,0.005623,9.853219,-0.011727,0.022868,0.000058,-0.000001699,0.000022127,-0.000043901,-0.001361,0.002699,0.000013,0.999995
0.470000,0.004993,-0.004544,9.814934,-0.011593,0.023363,0.000228,-0.000001774,0.000022079,-0.000044109,-0.001420,0.002816,0.000014,0.999995
0.480000,0.001298,-0.028143,9.823000,-0.012655,0.024629,0.000644,-0.000001731,0.000021902,-0.000044664,-0.001480,0.002935,0.000014,0.999995
0.490000,0.002804,0.002778,9.856641,-0.013172,0.024750,0.000364,-0.000002109,0.000022237,-0.000044168,-0.001542,0.003056,0.000015,0.999994
0.500000,-0.014784,-0.010052,9.858054,-0.011929,0.025386,-0.000497,-0.000001934,0.000022266,-0.000044110,-0.001604,0.003180,0.000016,0.999994
0.510000,-0.000809,0.016824,9.861885,-0.012596,0.026124,0.001880,-0.000001447,0.000022036,-0.000044122,-0.001668,0.003306,0.000016,0.999993
0.520000,-0.011210,0.010447,9.865391,-0.012776,0.025081,0.000831,-0.000001860,0.000022257,-0.000044150,-0.001732,0.003435,0.000017,0.999993
0.530000,0.007074,0.014176,9.823811,-0.012430,0.026499,-0.000554,-0.000001709,0.000022276,-0.000044254,-0.001798,0.003566,0.000018,0.999992
0.540000,-0.012194,0.009856,9.822491,-0.013159,0.025716,0.001093,-0.000001539,0.000022163,-0.000044342,-0.001866,0.003699,0.000018,0.999991
0.550000,0.003218,0.020767,9.855270,-0.013538,0.028053,-0.000503,-0.000001524,0.000022343,-0.000044281,-0.001934,0.003835,0.000019,0.999991
