time,x,y,z,vx,vy,vz
0.000000000000000000e+00,-9.933466539753062809e-06,-9.983341664682815421e-06,8.919667889206207845e-05,-9.933466539753061861e-03,-9.983341664682815475e-03,8.919667889206207845e-02
1.000000000000000021e-03,-2.980003350862566949e-05,-2.994965704520331044e-05,2.675867481112690553e-04,-1.986656696887260584e-02,-1.996631538052049543e-02,1.783900692192069704e-01
2.000000000000000042e-03,-5.959860262862497432e-05,-5.989784234920446653e-05,5.351603424472441920e-04,-2.979856911999930608e-02,-2.994818530400115281e-02,2.675735943359751068e-01
3.000000000000000062e-03,-9.932734369696294549e-05,-9.982605818459938034e-05,8.919010222236531046e-04,-3.972874106833796520e-02,-3.992821583539490904e-02,3.567406797764089421e-01
4.000000000000000083e-03,-1.489836950441154894e-04,-1.497317300199303095e-04,1.337785777413985156e-03,-4.965635134715255111e-02,-4.990567183533094198e-02,4.458847551903321049e-01
5.000000000000000104e-03,-2.085643642071289779e-04,-2.096115488610558167e-04,1.872785033691386561e-03,-5.958066916301348742e-02,-5.987981884112550390e-02,5.349992562774013027e-01
6.000000000000000125e-03,-2.780653288177917628e-04,-2.794614721437816991e-04,2.496862660409110077e-03,-6.950096461066278264e-02,-6.984992328272585094e-02,6.240776267177237102e-01
7.000000000000000146e-03,-3.574818377051545266e-04,-3.592767248419169641e-04,3.209975980506943327e-03,-7.941650888736277725e-02,-7.981525269813526113e-02,7.131133200978333475e-01
8.000000000000000167e-03,-4.468084122117495791e-04,-4.490518007901018256e-04,4.012075782337769583e-03,-8.932657450659507725e-02,-8.977507594818487369e-02,8.020998018308260757e-01
9.000000000000001055e-03,-5.460388477227262095e-04,-5.487804642206206172e-04,4.903106333407228866e-03,-9.923043551097657233e-02,-9.972866343051882410e-02,8.910305510694590536e-01
1.000000000000000021e-02,-6.551662154069868389e-04,-6.584557515132803815e-04,5.883005396018255694e-03,-1.091273676842606372e-01,-1.096752872926597816e-01,9.798990626110265501e-01
1.099999999999999936e-02,-7.741828641692788827e-04,-7.780699731573035953e-04,6.951704244811089325e-03,-1.190166487622920793e-01,-1.196142216440231887e-01,1.068698848792833278e+00
